name,price,processor,ram,os,storage,display,warranty
HP 15s Intel Core i3 11th Gen 1115G4 - (8 GB/1 TB HDD/Windows 10 Home) 15s-du3038TU Thin and Light Lap...,"₹43,369",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty
Acer Aspire 3 Intel Pentium Gold 4417U - (4 GB/500 GB HDD/Windows 10 Home) A315-53-P4MY Laptop,"₹25,289",Intel Pentium Gold Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW)
Lenovo IdeaPad Slim 5 Co-Pilot PC Qualcomm Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) 14Q8X9...,"₹89,190",Qualcomm Snapdragon X Plus Processor,16 GB LPDDR5X RAM,Windows 11 Operating System,1 TB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty
ASUS VivoBook 14 Intel Core i3 7th Gen 7020U - (4 GB/256 GB SSD/Windows 10 Home) X412UA-EK342T Thin an...,"₹31,490",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty
DELL Vostro 14 3000 Intel Core i5 8th Gen 8265U - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) vos 34...,"₹50,575",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,,35.56 cm (14 inch) Display,"1 Year Limited Hardware Warranty, InHome Service After Remote Diagnosis"
Lenovo IdeaPad 5 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH9 2 in 1 Lapt...,"₹84,690",Intel Core i7 Processor (13th Gen),16 GB LPDDR5X RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1 Year Carry-in Warranty
HP AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2084au Thin and Light Lapto...,"₹56,490",AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty
MSI GF63 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹68,986",Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-in Warranty
HP 15 AMD APU Dual Core E2 E2-9000e - (4 GB/500 GB HDD/DOS) 15Q-BY001AU Laptop,"₹23,740",AMD APU Dual Core E2 Processor,4 GB DDR4 RAM,DOS Operating System,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty
Acer Extensa AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,"₹50,999",AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year International Travelers Warranty
